
     Rooms & Clusters:
RefDsg: 	R255 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	R256 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	R257 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	R259 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	R260 	Room: 	 	Cluster: 	Newgroup3
RefDsg: 	R261 	Room: 	 	Cluster: 	Newgroup3
RefDsg: 	R262 	Room: 	 	Cluster: 	Newgroup3
RefDsg: 	R263 	Room: 	 	Cluster: 	Newgroup3
RefDsg: 	R264 	Room: 	 	Cluster: 	Newgroup3
RefDsg: 	R297 	Room: 	 	Cluster: 	Newgroup4
RefDsg: 	R300 	Room: 	 	Cluster: 	Newgroup4
RefDsg: 	R515 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	R561 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	R562 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	R563 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	R564 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	R565 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	R566 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	R567 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	R568 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	R569 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	R570 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	R571 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	R572 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	R573 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	R574 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	R575 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	R576 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	R577 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	R578 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	R579 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	R580 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	R581 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	R582 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	R583 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	R584 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	R585 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	R586 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	R587 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	R588 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	R589 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	R590 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	R591 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	R609 	Room: 	 	Cluster: 	Newgroup4
RefDsg: 	R610 	Room: 	 	Cluster: 	Newgroup4
RefDsg: 	R611 	Room: 	 	Cluster: 	Newgroup4
RefDsg: 	R612 	Room: 	 	Cluster: 	Newgroup4
RefDsg: 	R613 	Room: 	 	Cluster: 	Newgroup4
RefDsg: 	R614 	Room: 	 	Cluster: 	Newgroup4
RefDsg: 	R615 	Room: 	 	Cluster: 	Newgroup4
RefDsg: 	R616 	Room: 	 	Cluster: 	Newgroup4
RefDsg: 	R617 	Room: 	 	Cluster: 	Newgroup4
RefDsg: 	R618 	Room: 	 	Cluster: 	Newgroup4
RefDsg: 	R619 	Room: 	 	Cluster: 	Newgroup4
RefDsg: 	R620 	Room: 	 	Cluster: 	Newgroup4
RefDsg: 	R621 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	R622 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	R623 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	R624 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	R840 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	R841 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	R842 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	TP97 	Room: 	 	Cluster: 	Newgroup2
RefDsg: 	TP98 	Room: 	 	Cluster: 	Newgroup2
RefDsg: 	U17 	Room: 	 	Cluster: 	Newgroup2
RefDsg: 	U18 	Room: 	 	Cluster: 	Newgroup2
RefDsg: 	U19 	Room: 	 	Cluster: 	Newgroup2
RefDsg: 	U27 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	U29 	Room: 	 	Cluster: 	Newgroup3
RefDsg: 	U30 	Room: 	 	Cluster: 	Newgroup3
RefDsg: 	U31 	Room: 	 	Cluster: 	Newgroup3
RefDsg: 	U75 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	Y2 	Room: 	 	Cluster: 	Newgroup3
